Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
"Social Studies Teacher, Middle School","A belief that all students can learn
A desire to be an active part of a diverse community of educators, scholars, and families
A strong work ethic, individual drive, and an ability to thrive in a collaborative environment
Bilingual Spanish/English preferred, not required",Bachelor’s degree from an accredited college or university required; Master’s degree preferred,Two or more years of teaching experience as an elementary or middle school teacher in an urban environment with a strong record of student achievement preferred,"Collaborating with colleagues in developing cohesive Common Core-aligned curriculum materials, increasing evidence-based instructional resources, and establishing instructional goals grounded in research
Preparing standards-based lessons that challenge students’ critical thinking
Utilizing strong content knowledge to effectively present enticing and rigorous Common Core-aligned lessons
Differentiating instruction to accommodate multiple learning styles and abilities
Assessing students’ academic and developmental growth through observation and a variety of assessment methods
Tracking and monitoring data in order to regularly refine teaching practices and design differentiated lesson plans
Applying the values of urgency, rigor, and consistency to create a positive learning environment that promotes high expectations
Communicating with students, parents, and school staff to ensure that students are on-track in their learning and making progress towards goals",,
Full time Custodian/Cleaner,"Janitor/Custodian is to perform a variety of daily janitorial and custodial to ensure cleanliness and safety of the building, vehicles and grounds.",High School Diploma or GED,Six months or more of related experience,"Bathroom/kitchen cleaning/sanitizing, vacuuming/mopping floors, dusting, emptying trash etc.
Vacuuming, sweeping, and mopping of flooring and stairs.
Shampoo carpets as needed.
Strip & wax floors
Clean and sanitize bathrooms and clean mirrors.
Clean sinks, countertops, microwaves, and refrigerators in break rooms.
Restock supplies in bathrooms, break rooms and common areas.
Empty all trash cans and replace liners, clean receptacles as necessary.
Dusting and cleaning office desks, furniture & window sills that are not cluttered.
Wash windows, walls or glass as needed.
Wash dishes left in sink or fill/empty dishwasher as necessary.
Ensure all lights in the building are off.
Maintain janitor closets in a clean, organized and safe manner.
Maintain janitorial equipment in a clean, safe and operable condition.
Proper labeling, dilution and use of all chemicals.
Clean up cafeteria
Clean up occasional urine, vomit, and other student bodily fluids.
Clean spills/toilet overflows and other hazards with proper supplies.
Table set-up/tear down for special occasions, meetings or events
Occasional moving of school furniture
Other routine maintenance duties as assigned.
Notify Office Manager when building needs major repairs.
**painting experience a bonus",Valid Massachusetts Driver’s License required,"Computer literate or willingness/ability to learn email system and potential computerized Work Order System""
ood communication and interpersonal skills.
Good client/customer service skills.
Ability to follow oral and written instructions.
Ability to prioritize multiple tasks.
Ability to work effectively with a team.
Ability to work independently as needed to support the group effort.
Basic knowledge of cleaning products or willing to learn.
Ability to stand or be on feet for entirety of shift
Ability to lift 50+ pounds on occasion"
Special Education Teacher,The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.,,,"��Provides a basic core program for special needs students.
•Implements curriculum based upon Applied Behavior Analysis including discrete trial training, task analyses, and other
research based curriculum modifications.
•Plans curriculum, lessons, and special education programs and teaching methods.
•Performs portfolio assessments on necessary students.
•Participates in administration of MCAS/MCAS Alt Portfolios.
•Evaluates student progress based on data and observation.
•Maintains physical environment of the classroom.
•Maintains contact with parents of students.
•Works with staff to coordinate goals and objectives.
•Conducts academic assessments.
•Evaluates student progress based on work output and observation, determines goals, objectives and directions.
•Supervises and trains 1:1 teachers in implementing curriculum.
•Prepares progress notes, IEP forms, classroom observation records, and other miscellaneous surveys and forms.
•Participates in IEP meetings.
* Works 1:1 with students
•Other Duties as directed by supervisor",,
Board Certified Behavior Analyst (BCBA),"The Behavior Clinician’s responsibility is to develop behavior intervention plans for students diagnosed with autism and other disabilities. The behavior clinician will provide staff development on the implementation of particular protocols, data collection and progress monitoring techniques. The behavior clinician is also responsible for directly supervising a small team of staff and handling parent communications.",,,"1. Directly supervise team members around behavior plans, curriculum modifications, accommodations and social skills and provide staff with resources, tools, and in-class modeling of techniques.
2. Oversee and provide feedback to staff regarding programming and IEP implementation, and attend IEP meetings and parents meetings.
3. Develop and oversee behavior plans for in-classroom implementation and assess progress of effectiveness of behavior plans and curriculum modifications.
4. Conduct behavior assessments and devise appropriate behavior plans.
5. Facilitate team meetings weekly.
6. Act as an active training member for ABA staff and management staff. This includes on-site staff training, orientation training, clinical and staff meetings.
7. Ensure all students are safe by implementing and monitoring de-escalation strategies.
8. Other duties as required.",,
Senior Occupational Therapist,"Hopeful Journeys Educational Center is hiring a full-time, licensed Occupational Therapist with a minimum of 5-6 years’ experience to provide consultative services in our school for children with autism and other developmental disabilities (ages 3-22).",Masters degree in Occupational Therapy,"Preference of at least 5-6 years working experience with specialized populations
Complete HJEC training program in Applied Behavior Analysis
Experience working directly with children with Autism within a behavioral model preferred.","Analyze Occupational Therapy needs across the organization and develop a plan to target these needs in collaboration with clinicians

-Consult with administrators, special education teachers and clinical staff regarding student OT programs and goals

-develop IEP objectives as needed

-Conduct annual evaluations and assessments

- Identify and Conduct organization wide training on Occupational Therapy student programs live and virtually

-Collaborate with clinicians on program development related to Transitional and Vocational programming

-Conduct OT groups for students

- Provide support to the development of gross motor goals and curriculum

- Analyze individual student progress and recommend program updates

- Meet regularly with the PT for consultation regarding student programming

- Train and respond to crisis situation as needed

- Providing some, but limited, direct 1:1 services to students","Citizenship, residency or work VISA in United States required.
Be able to pass a background and CORI check.
Valid driver’s license in good standing and safe driving record.","Possess the ability to identify needs and make plans to target these areas
Experience with program development related to Transitional and Vocational Programming
Knowledge of the federal, state, local legislation, regulations, policies, and procedure that mandate and guide occupational therapy and behavioral therapy practices.
Ability to document in accordance with professional standards, state and local guidelines, and reimbursement requirements.
Ability to interpret the evaluation data and write a comprehensive report.
Experience using computers and an aptitude to learn computer applications.
Effective oral and written communication skills with the ability communicate respectively and compassionately to child and their family."
Family Engagement and Data Manager,"Perry Street Prep seeks an enthusiastic, driven champion of the school who is detail-oriented and highly organized, eager to work with students, families, and our broader community to be our next Family Engagement and Data Manager. In this role, the candidate will spearhead our work in collecting, analyzing, and managing data related to student records, academic performance, enrollment management, attendance, and other essential metrics. The Family Engagement and Data Manager will develop and implement effective family engagement strategies, driving student enrollment, and maintaining accurate student records. The Family Engagement and Data Manager will update our website, lead efforts to create and update marketing materials, oversee the student enrollment process, build relationships with community organizations, and become a connector for our community. The ideal candidate is detail oriented, creative, a problem solver, and eager to engage with others through various modes of communication. This role is essential for ensuring accurate reporting, supporting data-driven decision-making, and helping improve the educational experience for students and staff alike.

This position aligns with Perry Street Prep’s goals of creating a welcoming environment for families and students, creating a data-driven operation, and ensuring effective communication with all stakeholders.","Bachelor’s degree in Education, Business Administration, Data Analytics, or a related field","Minimum of 2 years of experience in school enrollment, admissions, or student information systems management, preferably in a charter or public school setting
Familiarity with state reporting requirements and accountability measures or evidence of prior work in a highly regulated environment, preferred
Proficiency in data management systems (e.g., PowerSchool) and Excel or other data analysis tools","Develop and implement family engagement strategies that foster meaningful partnerships with families and result in meeting enrollment targets
Organize and coordinate family events, workshops, and information sessions to build strong school-family relationships
Serve as the primary point of contact for families, addressing inquiries and providing guidance on school policies and resources
Establish and maintain regular communication channels with families to keep them informed about school activities, important updates, and available resources
Manage outreach initiatives to increase student enrollment, strengthen community partnerships, and offer families new opportunities for involvement in the PSP Community
Conduct home visits as needed to support family involvement and address barriers to engagement
Recruitment and Enrollment
Partner with school leaders to create and implement a marketing plan that increases student enrollment and enhances the school’s visibility
Develop outreach materials, manage social media updates, and organize open house events to attract prospective students and families
Represent Perry Street Prep at community events, promoting the school’s mission and family-centered approach to prospective families
Manage and cultivate external school-based partnerships (e.g., community groups)
Data Management
Maintain and manage accurate student records, including enrollment (e.g. withdrawal/ transfer) attendance, discipline, grades report cards, assessments, and demographic data, in the school’s data systems
Collaborate with school administrators, teachers, and other school personnel to provide accurate data for internal reports, state/federal reporting, and other external stakeholders
Develop and generate reports to assist in strategic decision-making and provide insights into student performance, retention, and engagement
Analyze and interpret data to support school improvement plans, track student progress, and identify trends
Manage the production of data dashboards including data related to attendance, discipline, assessments, enrollment, and accountability to drive decision-making and instructional practices
Maintain, generate, and distribute student demographic, scheduling, attendance, discipline, and grading information
Create and maintain student records, which includes the updating and maintenance of both hard copy and online student records through electronic student information systems
Ensure dissemination of records to families, schools, oversight bodies or government agencies are accurate and compliant with deadlines
Attend key meetings at PCSB, OSSE, and other organizations as necessary and related to data sharing/reporting and school accountability
Lead the school’s assessment process including overseeing all state and school-based testing, compliance, and reporting with school staff and students
Lead and manage the student enrollment process, from initial inquiry through application, acceptance, and onboarding including overseeing the DC residency verification for new and returning students, ensuring compliance with
local regulations
Provide training to staff on data entry, reporting tools, and best practices for data integrity
Manage data entry processes, perform routine audits to ensure accuracy, and address any discrepancies promptly
Provide support and accountability to ensure the achievement of organizational goals
Ensure compliance with privacy laws and policies (e.g., FERPA) in handling sensitive student information
Other Duties
Maintain and update the school website to ensure it reflects Perry Street Prep’s values, programs, and key information for families and prospective students
Collaborate with school leadership to design engaging web content that supports family engagement, enrollment, and community outreach
Regularly review and refresh website content to ensure accuracy and relevance for families, including updates to enrollment procedures, family resources, and event announcements
Other duties as assigned",,"Strong analytical skills and attention to detail, with the ability to identify trends and insights from data
Excellent organizational and time management skills, with the ability to handle multiple tasks and deadlines
Excellent written and oral communication and interpersonal skills, with the ability to engage diverse families and community members with a culturally responsive approach
Ability to work collaboratively with school staff, students, and families
Creative approach to problem solving with a “can-do” mindset focused on meeting and exceeding goals
Physical Abilities
These physical characteristics are representative of those that must be met by an employee to successfully perform the essential functions of this job safely. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Hearing and speaking to exchange information in person and on the telephone
Seeing to read, prepare and proofread documents
Sitting or standing for extended periods of time
Dexterity of hands and fingers to operate a computer keyboard and other office equipment
Kneeling, bending at the waist and reaching overhead, above the shoulders and horizontally to retrieve and store books, materials, files and supplies
Pushing and/or pulling objects, lifting light to medium weight objects"
Full Time Paraprofessional,"
Hopeful Journeys’ mission is to provide quality and individualized education to children with autism spectrum disorders and other developmental disabilities. We strive to build better futures for children and families by helping them to reach their fullest potential and enabling them to live more productive and independent lives.","Bachelor's degree in Education, Psychology, Special Education or a related Human Services Field preferred, but not required.","Experience with Autism Spectrum Disorder and/or other developmental disabilities preferred; however, entry level candidates are welcomed. High level of comprehensive training will be provided!","Work with students ages 3-22 with autism spectrum disorders and other developmental disabilities utilizing ABA methodology.
- Collect and accurately record behavioral, social, academic, and other data as required per students’ specific goals and programming.
- Demonstrate fluency with behavior plans, discrete trial teaching, and task analysis.
- Demonstrate fluency with and correctly implement CALM procedures (including wearing protective equipment as required).
- Complete case management and other paperwork tasks.
- Participate in community outings with students including, but not limited to: swimming and vocational sites etc.
- Ensure effective communication between home and school with appropriate in person parent communication and home note documentation.",,
"Assistant Principal, Middle School","An Assistant Principal is a member of the school leadership team who collaborates with fellow leaders to design and manage the academic program for 6th-8th graders. The ideal candidate will bring demonstrated experience mentoring adults, designing curriculum, and increasing student achievement, as well as an interest in personal growth and development.","Bachelor’s degree required. An advanced degree in K-12 school administration, curriculum and instruction, or a related field with strong academic preparation preferred.","At least four years of classroom teaching experience
Experience with one or more of the following is preferred:
Leading professional development for teachers
Working with teachers to increase rigor in lesson plans and course curriculum
Mentoring and coaching adults to excellence
Conducting formal evaluations of teachers","Student Achievement
Implement the vision for the school’s academic program for assigned grade levels
Observe classroom instruction, provide substantive feedback based on content, and provide direct support to teachers through informal and formal observations
Develop and implement professional development aligned to the school’s academic vision and student achievement outcomes
Facilitate Professional Learning Communities (PLCs) aligned to student achievement outcomes
Collaborate with key staff to administer interim assessments and required state assessments
Drive revision of instructional plans in response to assessment data
Collect, analyze and review student achievement data in coordination with other school and student level data
Facilitate the examination of data for the purpose of teacher reflection, improved practice, and programmatic changes leading to improved student outcomes
Implement academic interventions including curricular and program adjustments for students.
Talent and Culture
Collaborate with the other school leaders to develop, monitor and maintain high academic and behavioral expectations for all students and teachers
Coach, supervise, and evaluate staff through informal classroom visits, regular formal and informal classroom observations, lesson plan review, and written evaluations for instructional staff
Support a cohort of new teachers with instructional delivery and classroom management
Participate in the recruitment and hiring of academic staff (teachers, instructional assistants, coaches, etc.).
Operations
Communicate the message of standards-driven teaching and learning to parents/guardians, staff, and students
Complete other duties as outlined by the school leadership",,"Comfort synthesizing and prioritizing data to solve problems and develop strategies to achieve ambitious academic goals
Strong problem-solving, critical thinking, and analytic skills
Familiarity with Common Core State Standards and state assessment systems (SBAC)
Outstanding oral and written communication skills
A demonstrated passion for advancing educational opportunities in low-income communities"
"ELA Teacher, 8th Grade","We are seeking an English Language Arts Teacher to work with our 8th grade students for the 2024-25 school year. Teaching positions at Meridian are full-time, salaried, 10-month positions.",A Bachelor’s degree from an accredited institution required; a Master’s degree preferred,"Minimum of 3 years classroom teaching experience, additional years preferred
Leadership experience as a Mentor Teacher, Department Head, Instructional Coach, Academic Director, or Assistant Principal preferred","Collaborating with colleagues in developing cohesive Common Core-aligned curriculum materials, increasing instructional resources, and establishing instructional goals
Preparing standards-based lessons that challenge students’ critical thinking
Utilizing strong content knowledge to effectively present enticing and rigorous Common Core-aligned lessons
Differentiating instruction to accommodate multiple learning styles and abilities
Assessing students’ academic and developmental growth through observation and a variety of assessment methods
Tracking and monitoring assessment results in order to regularly refine teaching practices and design differentiated lesson plans
Applying the values of urgency, rigor, and consistency to create a positive learning environment that promotes high expectations
Communicating with students, parents, school staff to ensure that students are on-track in their learning and making progress towards goals
Establishing and implementing effective classroom management procedures, and maintain a productive, safe, and focused learning environment
Other duties as assigned",,
Speech-Language Pathologist,"*The Speech Language Pathologist at Meridian delivers diagnostic and therapeutic services to students with communication disorders, develops and implements individualized treatment plans, and ensures compliance with IEPs. This role collaborates with teachers and families to support speech, language, and literacy development while maintaining required documentation.","Bachelor’s degree from an accredited university required
Master’s degree (MA/MS) in Communication Sciences and Disorders or Speech-Language Pathology preferred",Two or more years of experience working in schools preferred,"Provides direct and indirect clinical services to students who have been diagnosed with an academically based communication disorder in areas of articulation, languages, voice and/or fluency
Provides and completes comprehensive diagnostic assessments and evaluations of speech, voice, and language impairments; and determines the presence/absence of a specific communication disorder which adversely impacts academic progress
Serves as a resource to school staff members by developing a balanced program for oral communication and speech, language, and literacy development
Assists and guides teachers in observing, describing, and referring suspected and identified speech and language impairments
Assists in proper referrals of students to agencies and specialists in the community, as appropriate
Provides appropriate individualized programs of therapy to meet individual students’ needs and correct existing speech or language impairments
Provides speech and language therapy special education students in groups and as individuals per their Individual Education Plans (IEPs).
Provides intervention to students through response to intervention (RTI) including small groups and classroom intervention
Participates in multidisciplinary team meetings and related responsibilities, such as attending meetings, writing progress summaries on present levels of performance, and drafting/monitoring IEP goals.
Provides direct/indirect service to students diagnosed with a swallowing disorder as it relates to the educational environment
Provides an implemented therapeutic program to meet the individual needs of students with diagnosed communication impairment
Compiles case history data on those cases where additional family history, health history, and early developmental history are deemed appropriate
Conducts speech and language screenings
Coordinates assistive technology support services
Lends support and guidance to child study committees
Maintains all documents required to file Medicaid claims and required by Medicaid, including signed copies of all Health Encounter Tracking Forms, Assessment reports, and progress notes in the student file
Establishes and maintains strong and positive communication lines with all parents
Makes self available for Meridian parent engagement events, such as Parent-Teacher Conferences, Back to School Night, and other events involving families","Certification as a Speech Language Pathologist by the District of Columbia Office of the State Superintendent of Education (OSSE)
Certificate of Clinical Competence in Speech by the American Speech-Language-Hearing Association (ASHA)",
