Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
"Social Studies Teacher, Middle School",,Bachelor's degree from an accredited college or university required;,,,,"ability to thrive in a collaborative environment Bilingual Spanish/English preferred, not required COMPENSATION AND BENEFITS Perry Street Prep offers a competitive salary commensurate with experience and a comprehensive benefits package."
Full time Custodian/Cleaner,"*The Full time Custodian/Cleaner is responsible for bathroom/kitchen cleaning/sanitizing, vacuuming/mopping floors, dusting, emptying trash etc.",High School Diploma or GED Six months or more of related experience Valid Massachusetts Driver's License required Computer literate or willingness/ability to learn email system and potential computerized Work Order System,,"Bathroom/kitchen cleaning/sanitizing, vacuuming/mopping floors, dusting, emptying trash etc.",Valid Massachusetts Driver's License required Computer literate or willingness/ability to learn email system and potential computerized Work Order System,"interpersonal skills.
customer service skills.
Ability to follow oral and written instructions.
Ability to prioritize multiple tasks.
Ability to work effectively with a team.
Ability to work independently as needed to support the group effort.
Ability to stand or be on feet for entirety of shift Ability to lift 50+ pounds on occasion Experience/Knowledge/Skills: High School Diploma or GED Six months or more of related experience Valid Massachusetts Driver's License required Computer literate or willingness/ability to learn email system and potential computerized Work Order System"
Special Education Teacher,The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.,teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.,,"The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.
Provides a basic core program for special needs students.
Implements curriculum based upon Applied Behavior Analysis including discrete trial training, task analyses, and other
research based curriculum modifications.
Plans curriculum, lessons, and special education programs and teaching methods.
Performs portfolio assessments on necessary students.
Participates in administration of MCAS/MCAS Alt Portfolios.
Evaluates student progress based on data and observation.
Maintains physical environment of the classroom.
Maintains contact with parents of students.
Works with staff to coordinate goals and objectives.
Conducts academic assessments.
Evaluates student progress based on work output and observation, determines goals, objectives and directions.
Supervises and trains 1:1 teachers in implementing curriculum.
Prepares progress notes, IEP forms, classroom observation records, and other miscellaneous surveys and forms.",,
Board Certified Behavior Analyst (BCBA),*The Board Certified Behavior Analyst (BCBA) is responsible for over 9 weeks of paid time off (increases with seniority) and tuition reimbursement consideration for related phd programs.,,,"Over 9 weeks of Paid Time Off (increases with seniority)
Tuition reimbursement consideration for related Phd programs
Childcare reimbursement
Company paid Life and Long Term Disability insurance
Flexible spending account
Paid Conference Days and reimbursement
Directly supervise team members around behavior plans, curriculum modifications, accommodations and social skills and provide staff with resources, tools, and in-class modeling of techniques.
Oversee and provide feedback to staff regarding programming and IEP implementation, and attend IEP meetings and parents meetings.
Develop and oversee behavior plans for in-classroom implementation and assess progress of effectiveness of behavior plans and curriculum modifications.
Conduct behavior assessments and devise appropriate behavior plans.
Facilitate team meetings weekly.
Act as an active training member for ABA staff and management staff. This includes on-site staff training, orientation training, clinical and staff meetings.
Ensure all students are safe by implementing and monitoring de-escalation strategies.",,
Senior Occupational Therapist,Position Type: Full Time- 7am-3pm- some flexibility may be available,"Hopeful Journeys Educational Center is hiring a full-time, licensed Occupational Therapist with a minimum of 5-6 years' experience to provide consultative services in our school for children with autism and other developmental disabilities (ages 3-22).",") Hopeful Journeys' mission is to provide quality and individualized education to children with autism spectrum disorders and other developmental disabilities. We strive to build better futures for children and families by helping them to reach their fullest potential and enabling them to live more productive and independent lives.Hopeful Journeys is designed to meet the individualized academic, social, vocational, and behavioral needs of children ages 3-22. Students who attend the Hopeful Journeys program require an individualized and highly structured environment throughout their day and across all activities that utilizes a teaching methodology based on the principles of Applied Behavior Analysis (ABA). Hopeful Journeys Educational Center is hiring a full-time, licensed Occupational Therapist with a minimum of 5-6 years' experience to provide consultative services in our school for children with autism and other developmental disabilities (ages 3-22). General job responsibilities include: -Analyze Occupational Therapy needs across the organization and develop a plan to target these needs in collaboration with clinicians -Consult with administrators, special education teachers and clinical staff regarding student OT programs and goals -Develop IEP objectives as needed -Conduct annual evaluations and assessments - Identify and conduct organization wide training on Occupational Therapy student programs live and virtually -Collaborate with clinicians on program development related to Transitional and Vocational programming -Conduct OT groups for students - Provide support to the development of gross motor goals and curriculum - Analyze individual student progress and recommend program updates - Meet regularly with the PT for consultation regarding student programming - Train and respond to crisis situation as needed - Providing some, but limited, direct 1:1 services to students","Analyze Occupational Therapy needs across the organization and develop a plan to target these needs in collaboration with clinicians -Consult with administrators, special education teachers and clinical staff regarding student OT programs and goals -Develop IEP objectives as needed -Conduct annual evaluations and assessments - Identify and conduct organization wide training on Occupational Therapy student programs live and virtually -Collaborate with clinicians on program development related to Transitional and Vocational programming -Conduct OT groups for students - Provide support to the development of gross motor goals and curriculum - Analyze individual student progress and recommend program updates - Meet regularly with the PT for consultation regarding student programming - Train and respond to crisis situation as needed - Providing some, but limited, direct 1:1 services to students Knowledge, skills and abilities required: Masters degree in Occupational Therapy Preference of at least 5-6 years working experience with specialized populations Complete HJEC training program in Applied Behavior Analysis",Valid driver's license in good standing and safe driving record.,"Masters degree in Occupational Therapy Preference of at least 5-6 years working experience with specialized populations Complete HJEC training program in Applied Behavior Analysis Experience working directly with children with Autism within a behavioral model preferred. Possess the ability to identify needs and make plans to target these areas Experience with program development related to Transitional and Vocational Programming Knowledge of the federal, state, local legislation, regulations, policies, and procedure that mandate and guide occupational therapy and behavioral therapy practices. Ability to document in accordance with professional standards, state and local guidelines, and reimbursement requirements. Ability to interpret the evaluation data and write a comprehensive report. Experience using computers and an aptitude to learn computer applications. Effective oral and written communication skills with the ability communicate respectively and compassionately to child and their family. Citizenship, residency or work VISA in United States required. Be able to pass a background and CORI check. Valid driver's license in good standing and safe driving record. The above is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of essential functions, responsibilities or requirements."
Special Education Teacher,The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.,teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.,,"The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.
Provides a basic core program for special needs students.
Implements curriculum based upon Applied Behavior Analysis including discrete trial training, task analyses, and other
research based curriculum modifications.
Plans curriculum, lessons, and special education programs and teaching methods.
Performs portfolio assessments on necessary students.
Participates in administration of MCAS/MCAS Alt Portfolios.
Evaluates student progress based on data and observation.
Maintains physical environment of the classroom.
Maintains contact with parents of students.
Works with staff to coordinate goals and objectives.
Conducts academic assessments.
Evaluates student progress based on work output and observation, determines goals, objectives and directions.
Supervises and trains 1:1 teachers in implementing curriculum.
Prepares progress notes, IEP forms, classroom observation records, and other miscellaneous surveys and forms.",,
Full Time Paraprofessional,"for Paraprofessional: Hopeful Journeys' mission is to provide quality and individualized education to children with autism spectrum disorders and other developmental disabilities. We strive to build better futures for children and families by helping them to reach their fullest potential and enabling them to live more productive and independent lives. The Paraprofessional's primary job responsibilities are implementing behavior intervention & curriculum programs for students with autism spectrum disorder and other developmental disabilities, managing two student cases, and promoting HJEC's mission.","Bachelor's degree in Education, Psychology, Special Education or a related Human Services Field preferred, but not required.",,"Work with students ages 3-22 with autism spectrum disorders and other developmental disabilities utilizing ABA methodology. - Collect and accurately record behavioral, social, academic, and other data as required per students' specific goals and programming. - Demonstrate fluency with behavior plans, discrete trial teaching, and task analysis. - Demonstrate fluency with and correctly implement CALM procedures (including wearing protective equipment as required). - Complete case management and other paperwork tasks. - Participate in community outings with students including, but not limited to: swimming and vocational sites etc. - Ensure effective communication between home and school with appropriate in person parent communication and home note documentation.
Knowledge, skills and abilities required: Bachelor's degree in Education, Psychology, Special Education or a related Human Services Field preferred, but not required.",,"Bachelor's degree in Education, Psychology, Special Education or a related Human Services Field preferred, but not required."
Interventionist,,,,,,
"ELL Teacher, Lower Elementary",,"Perry Street Prep is seeking educators with the following education, experience, and personal philosophy:",,,,"ability to thrive in a collaborative environment\ COMPENSATION AND BENEFITS Perry Street Prep offers a competitive salary commensurate with experience and a comprehensive benefits package.
Experience with co-teaching models, writing and monitoring IEPs, and ELL strategies preferred A belief that all students can learn A desire to be an active part of a diverse community of educators, scholars, and families A strong work ethic, individual drive, and an ability to thrive in a collaborative environment\ COMPENSATION AND BENEFITS Perry Street Prep offers a competitive salary commensurate with experience and a comprehensive benefits package."
"Resident Teacher, Elementary or Middle School","*The Resident Teacher, Elementary or Middle School is responsible for implementing the curriculum and utilizing classroom routines and procedures with consistency developing lesson plans, homework assignments and assessments presenting academic content through a variety of instructional strategies to reach all learners communicating and enforcing high expectations and standards for behavior and academic performance participating in professional development to learn best practices in teaching common core standards forming and maintaining relationships with students and their families, including phone calls and conferences providing classroom coverage in the absence of the lead teacher.","Bachelor's degree required Classroom teaching experience in an urban school setting preferred Possess a commitment to educating students for academic achievement and empowering students to make healthy lifestyle choices Believe in the capacity of every student for high academic achievement and a commitment to creating a highly-structured, effective, and fun learning environment Receptiveness to feedback and a desire to continuously improve SALARY AND BENEFITS Meridian teachers and staff are compensated competitively for their time and have opportunities to earn additional income through leadership opportunities at the school level, offering extracurricular clubs and sports for students, and facilitating tutoring programs.",,"Implementing the curriculum and utilizing classroom routines and procedures with consistency Developing lesson plans, homework assignments and assessments Presenting academic content through a variety of instructional strategies to reach all learners Communicating and enforcing high expectations and standards for behavior and academic performance Participating in professional development to learn best practices in teaching Common Core standards Forming and maintaining relationships with students and their families, including phone calls and conferences Providing classroom coverage in the absence of the lead teacher",,"experience in an urban school setting preferred Possess a commitment to educating students for academic achievement and empowering students to make healthy lifestyle choices Believe in the capacity of every student for high academic achievement and a commitment to creating a highly-structured, effective, and fun learning environment Receptiveness to feedback and a desire to continuously improve SALARY AND BENEFITS Meridian teachers and staff are compensated competitively for their time and have opportunities to earn additional income through leadership opportunities at the school level, offering extracurricular clubs and sports for students, and facilitating tutoring programs."
